OBJECTID,FACILITY,ADDRESS,SE_ANNO_CAD_DATA,CITY,ACUTE_CARE,GIS_EDT_DT,URL,TELEPHONE,GlobalID,x,y
1,UW Medical Center - Northwest,1550 N 115th ST,System.Byte[],"Seattle, WA, 98133-8401",Y,3/17/2020 7:00:00 AM,https://www.uwmedicine.org/locations/northwest-hospital,877-694-4677,5a60481b-7ab9-4641-bb01-fada4a71f135,1270303.86494559,264151.314498544
2,Swedish Medical Center - Ballard Campus,5300 Tallman Ave NW,System.Byte[],"Seattle, WA 98107",Y,3/17/2020 7:00:00 AM,https://www.swedish.org/locations/ballard-campus,206-782-2700,fa54e9ed-ec6e-451c-8134-7cb2e8fe52ea,1259458.77258249,247261.455985248
3,Highline Medical Center,16251 Sylvester Rd SW,System.Byte[],"Burien, WA, 98166-3017",Y,3/17/2020 7:00:00 AM,https://www.chifranciscan.org/highline-medical-center.html,206-244-9970,bedca099-0c2b-41db-b63e-3c714a6a6a01,1267355.76612657,170647.575586796
4,Valley Medical Center,400 S 43rd St,System.Byte[],"Renton, WA, 98055-5714",Y,3/17/2020 7:00:00 AM,https://www.uwmedicine.org/locations/valley-medical-center#main-tab,425-690-1000,19a93bde-48a5-49c2-acef-f54f7f91a4dc,1298740.75003071,164393.901724398
5,St. Francis Hospital,34515 9th Ave S,System.Byte[],"Federal Way, WA, 98003-6761",Y,3/17/2020 7:00:00 AM,https://www.chifranciscan.org/st-francis-hospital.html,253-835-8100,b6740931-a05b-44d8-a3d7-466ecc66ebb0,1269683.50846495,110335.768933043
6,Snoqualmie Valley Hospital,9801 Frontier Ave SE,System.Byte[],"Snoqualmie, WA, 98065-5200",Y,3/17/2020 7:00:00 AM,http://snoqualmiehospital.org/services/hospital-patients-and-families/,425-831-2300,58e75bb1-4b89-46e6-ada1-6f6b887c4172,1380436.44541037,188680.50859727
7,Swedish Medical Center - First Hill,747 Broadway,System.Byte[],"Seattle, WA, 98122-4379",Y,3/17/2020 7:00:00 AM,https://www.swedish.org/locations/first-hill-campus,206-386-6000,c713f395-f045-4e40-a07a-a054a3df2cd4,1273242.3737486,225638.328667104
8,MultiCare  Auburn Medical Center,202 N Division St,System.Byte[],"Auburn, WA, 98001-4939",Y,3/17/2020 7:00:00 AM,https://www.multicare.org/auburn-medical-center/,253-833-7711,74cd2466-5d56-44e2-96fc-1fe8bf6d28ea,1294208.02042606,115960.275754794
9,Overlake Hospital Medical Center,1035 116th Ave NE,System.Byte[],"Bellevue, WA, 98004-4604",Y,3/17/2020 7:00:00 AM,https://www.overlakehospital.org/,425-688-5000,dccd5a82-0821-4865-ac0b-f9ab3f51e621,1306431.23087059,229640.797727212
10,Seattle Children's Hospital,4800 Sand Point Way NE,System.Byte[],"Seattle, WA, 98105-3901",Y,3/17/2020 7:00:00 AM,https://www.seattlechildrens.org/,206-987-2000,0c0505fa-bf1f-4532-ab97-65822c90cfff,1283590.3744632,244948.781230882
12,Virginia Mason Medical Center,1100 9th St,System.Byte[],"Seattle, WA, 98101-2742",Y,3/18/2020 7:00:00 AM,https://www.virginiamason.org/seattle,206-223-6600,c49517b4-2d9b-49f0-a759-35aaca27df2e,1271766.87499508,225918.037787393
13,EvergreenHealth - Kirkland,12040 NE 128th St,System.Byte[],"Kirkland, WA, 98034-3013",Y,3/17/2020 7:00:00 AM,https://www.evergreenhealth.com/,425-899-2621,c593b2b2-a250-44ae-8429-5165742c7d7f,1309247.27151346,264000.51737839
14,Swedish Medical Center - Cherry Hill,500 17th Ave,System.Byte[],"Seattle, WA, 98122-5711",Y,3/17/2020 7:00:00 AM,https://www.swedish.org/locations/cherry-hill-campus,206-320-2000,2f5c3aec-0686-4812-b4f1-7b56a57b6be4,1276256.28683968,224928.214618385
15,Seattle VA Medical Center,1660 S Columbian Way,System.Byte[],"Seattle, WA 98108",Y,3/17/2020 7:00:00 AM,https://www.pugetsound.va.gov/locations/directions.asp,800-329-8387 Ext.71234,84c8a425-c626-4d3d-b81c-87df0eeb9fb5,1276064.48875949,208660.050121725
16,Swedish Medical Center - Issaquah Campus,751 NE Blakely Dr,System.Byte[],"Issaquah, WA, 98029-6201",Y,3/17/2020 7:00:00 AM,https://www.swedish.org/locations/issaquah-campus,425-313-4000,33db3f66-5592-415c-97f4-96eca1b902d5,1346822.95257594,197822.744254619
17,Kaiser Permanente Capitol Hill Campus,201 16th Ave E ,System.Byte[],"Seattle, WA, 98112-5226",N,3/17/2020 7:00:00 AM,https://wa.kaiserpermanente.org/html/public/locations/capitol-hill,1-800-562-6300,e2197b70-804c-4230-ba01-6190e0531ff9,1275702.01810312,229711.222559273
18,St. Elizabeth Hospital,1455 Battersby Ave,System.Byte[],"Enumclaw, WA, 98022-3634",Y,3/17/2020 7:00:00 AM,https://www.chifranciscan.org/st-elizabeth-hospital.html,360-802-8800,1ecad115-36f0-466c-9201-9be985d3bd01,1353473.79623075,78455.9829804003
19,Harborview Medical Center,325 9th Ave,System.Byte[],"Seattle, WA, 98104-2420",Y,3/17/2020 7:00:00 AM,https://www.uwmedicine.org/locations/harborview-medical-center,206-744-3000,14071108-e701-490a-9c69-9a598c3b9a8d,1272753.9967241,223878.709785312
20,University of Washington Medical Center,1959 NE Pacific St,System.Byte[],"Seattle, WA, 98195-0001",Y,3/17/2020 7:00:00 AM,https://www.uwmedicine.org/locations/uw-medical-center,206-598-3300,b791bb44-fbbe-4470-b07a-6f7e172cd4b3,1276703.12421614,240712.999146551
