name,address,latitude,longitude
Academy for Precision Learning,1432 15th Ave,47.613933305837897,-122.312514160543
Ashé Preparatory Academy,2600 South Holgate Street,47.586536228652797,-122.298702010624
Assumption / St. Bridget School,6220 32nd Ave NE,47.674858926340697,-122.292853787295
Bertschi School,2227 Tenth Avenue E,47.639321504433397,-122.32036352053299
Bishop Blanchet High School,8200 Wallingford Ave N,47.688916264435697,-122.335540766208
Bright Water Waldorf School,"1414 S Weller St, Suite C",47.5977135438687,-122.31202595984701
Billings Middle School,12351 8th Ave NE,47.719231310158399,-122.321725901376
Brightmont Academy - Seattle,"115 NE 100th Street, Ste 200",47.700798414052599,-122.327156641884
Cristo Rey Jesuit Seattle High School,10001 57th Ave. S,47.510425932694197,-122.26278042089299
Derech Emunah Seattle Jewish Girls High School,5142 S Holly St,47.5431042067787,-122.26804579498599
Concordia Lutheran School,7040 36th Ave NE,47.680735154185399,-122.289062380587
Christ the King School,415 N 117th St,47.713880161023901,-122.353514804567
Dartmoor School,6515 15th Ave NE,47.676006142272598,-122.312454922966
Epiphany School,3611 E Denny Way,47.618072936705502,-122.286772120717
Fusion Academy,214 E Galer St Suite 200,47.632459857285902,-122.325303514928
Giddens School,2120 21st Ave S,47.583917880731697,-122.305124492709
Holy Family Bilingual Catholic School,9615 20th Ave SW,47.516981374548699,-122.35947876978599
Holy Names Academy,728 21st Ave E,47.626449588946798,-122.304309057903
Hamlin Robinson School,1701 20th Ave S,47.588311316829902,-122.306511052725
Hope Lutheran Church and School,4456 42nd Ave SW,47.563424631994998,-122.385102692819
Holy Rosary School - Seattle,4142 42nd Ave SW,47.565426669038402,-122.385032912854
Lake Washington Girls Middle School,2100 S Walker Street,47.583916520471703,-122.305120401775
KapKa Cooperative School,510 N 49th St,47.664766058371399,-122.352493931696
Laurel Academy,12700 35th Ave NE,47.721130362247699,-122.290211860749
Morningside Academy,1605 17th Ave,47.615713732594202,-122.310572475924
Menachem Mendel Seattle Cheder,620 20th Ave. S,47.596924941171601,-122.306026833319
Matheia School,2205 NW 67th St,47.677462118657601,-122.38475785696799
Northwest Montessori School,4619 37th Ave SW,47.561461090507798,-122.379137535966
O'Dea High School,802 Terry Avenue,47.607762027437303,-122.324828224196
Northwest Montessori School,4910 Phinney Ave N,47.664812351441,-122.353584046224
Northwest Montessori School,7400 25th Ave NE,47.6822456077441,-122.300331018988
Our Lady of Fatima Parish School,3301 West Dravus St,47.647252355988897,-122.39978059869
Pacific Crest School,600 NW Bright St,47.660237288182103,-122.364184074701
Puget Sound Community School,660 S Dearborn St,47.596294441939598,-122.324283412977
